codigo;descripcion;linea;sublinea;grupo;categoria;regla_aplicada;confianza;precio_prueba_cop
NIK-10402;BROCHA PROFESIONAL 2 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;84300
NIK-14010;BROCHA PROFESIONAL 1 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;68400
NIK-14015;BROCHA PROFESIONAL 1.5 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;121100
NIK-14023;BROCHA PROFESIONAL 3 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;190300
NIK-14024;BROCHA PROFESIONAL 4 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;137700
NIK-14025;BROCHA PROFESIONAL 2.5 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;197300
NIK-00303;CINTA TEFLON 12MM X 0.075MM X 10M X 0.20G/CM3;CINTAS;CINTA TEFLON;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;214800
NIK-00304;CINTA TEFLON 19MM X 0.2MM X 15M X 0.20G/CM3;CINTAS;CINTA TEFLON;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;118600
NIK-12640P;"DISCO DE TRONZADORA PARA CORTE DE METAL DE 14"" EJE DE 1"" ESPESOR 3/32""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;12500
NIK-12862P;"DISCO FINO CORTE METAL & ACERO INOX T41 4-1/2"" X 0.045 ""X 7/8""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;58100
NIK-12865P;"DISCO FINO CORTE METAL & ACERO INOX. TIPO 41 7"" X 1/16 "" X 7/8""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;153900
NIK-12867P;"DISCO FINO CORTE METAL & ACERO INOX T41 9"" X .5/64 ""X 7/8""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;158600
NIK-COMBO1;COMBO NIK-M140 + NIK-15901 + NIK-AG3103;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;combo:3 componentes;media;284300
NIK-COMBOCAR1;COMBO CARNAVAL: MÁQUINA DE SOLDAR NIK-M140 + CARETA DE SOLDAR NIK-15901;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1354800
NIK-COMBOCAR2;COMBO CARNAVAL:MÁQUINA DE SOLDAR NIK-M200 + CARETA DE SOLDAR NIK-15902;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1432900
NIK-COMBOCAR3;COMBO CARNAVAL: MÁQUINA DE SOLDAR NIK-MIG200 + CARETA DE SOLDAR NIK-15903;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1631400
NIK-COMBODISCOS;COMBO DE DISCOS ABRASIVOS: INCLUYE 4-1/2¨, 7¨, 9¨Y 14¨;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;15600
NIK-HERR1;4 NIK-HM5116 + 4 NIK-AG3103;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:2 componentes;media;1302000
NIK-HERR2;2 NIK-HM5116 + 1 NIK-28700 + 4 NIK-AG3103 + 1 NIK-AG2830;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:4 componentes;media;2439700
NIK-HERR3;NIK-HM5116 + NIK-HM9217 + NIK-CD1020 + NIK-CD1012 + NIK-AG3103 + NIK-AG2830;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:6 componentes;media;1069200
NIK-HERR4;2 NIK-JS7701 + 2 NIK-HG1200 + 2 NIK-FS8410 + 2 NIK-BW6001;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:4 componentes;media;3163400
NIK-PROM140;COMBO DE MAQUINA SOLDAR NIK-M140 + CARETA SOLDAR NIK-15902 + GUANTE PROWE-10-2112;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1574000
