linea_del_archivo;productos;sublinea_principal;grupo_principal;ejemplo_1;ejemplo_2;categoria_sugerida;confianza;categoria_final_CORREGIR_AQUI
HERRAMIENTA MECANICA;458;DADOS;GRUPO NIKATTO;"LLAVE AJUSTABLE CROMADA 6""";"LLAVE AJUSTABLE CROMADA 8""";Herramientas Mecánicas;alta;Herramientas Mecánicas
HERRAMIENTA MANUAL;222;ALICATES;GRUPO NIKATTO;"CORTABALDOSA 400MM (16"") DIAM 30-80MM MT116A-2";CUCHILLA REPUESTO CORTABALDOSAS 16 X 6 X 3 MW163;Herramientas Manuales;alta;Herramientas Manuales
TORNILLO HEXAGONAL GRADO 5 UNC;187;GRADO 5;TORNILLERIA;TORN HEXAGONAL GRADO 5 UNC 1/4 X 1/2;TORN HEXAGONAL GRADO 5 UNC 1/4 X 3/4;Tornillería;alta;Tornillería
TORNILLO HEX  G-2 ZINCADO UNC;157;GRADO 2;TORNILLERIA;TORNILLO HEXG-2 ZINC UNC 3/16 X 1/2;TORNILLO HEXG-2 ZINC UNC 1/4 X 1/2;Tornillería;alta;Tornillería
TLLO HEX GRADO 8 UNC;153;GRADO 8;TORNILLERIA;TORN HEXAGONAL GRADO 8 UNC 1/4 X 1/2;TORN HEXAGONAL GRADO 8 UNC 1/4 X 3/4;Tornillería;alta;Tornillería
SEGURIDAD INDUSTRIAL;121;PROTECCION MANUAL;GRUPO NIKATTO;BLOQUEO MAGNETOTERMICO PIN IN;CANDADO LOTO AZUL/ACERO - DP;Seguridad Industrial;alta;Seguridad Industrial
HERRAMIENTAS DE CARGA;116;CABLE DE ACERO;GRUPO NIKATTO;"CABLE ALMA DE ACERO ALQUITRANADO (IWRC ) 6X19 X 1/4"" ROLLO DE 500 MTS";"CABLE ALMA DE ACERO ALQUITRANADO 6X19 (IWRC) X 3/8"" ROLLO DE 250 MTS";Herramientas de Carga;alta;Herramientas de Carga
BROCAS;99;BROCAS;GRUPO NIKATTO;"BROCA HSS ACERO RAPIDO 1/16""";"BROCA HSS ACERO RAPIDO 1/2""";Herramientas de Corte;alta;Herramientas de Corte
SOLDADURA;92;REPUESTOS;GRUPO NIKATTO;CARETA DE SOLDADURA STD NIVEL 1 - ESCUDO AMERICANO;"ALAMBRE DE SOLDADURA MIG 0.8MM (0.030"")  CAJA X 15 KILOS";Herramientas de Soldadura;alta;Herramientas de Soldadura
TORNILLO CARRIAGE ZINCADO 1/4 X 1/2;92;CARRIAGE;TORNILLERIA;TORNILLO CARRIAGE ZINCADO 1/4 X 1/2;TORNILLO CARRIAGE ZINCADO 1/4 X 3/4;Tornillería;alta;Tornillería
TORNILLO DRYWALL RO;66;DRYWALL;TORNILLERIA;TORNILLO DRYWALL RO 6 X 1/2;TORNILLO DRYWALL RO 6 X 3/4;Tornillería;alta;Tornillería
HTA ELECTRICA;61;REPUESTOS;GRUPO NIKATTO;"TRONZADORA 14""  2400 WATTS";ESTATOR - REPUESTO REFERENCIA: NIK-28700;Herramientas Eléctricas;alta;Herramientas Eléctricas
TLLO LAMINA PAN PHL ZINC;57;LAMINA PAN;TORNILLERIA;TORN LAMINA PAN PHL ZINC 4X1/4;TORN LAMINA PAN PHL ZINC 4X3/8;Tornillería;alta;Tornillería
CHAZO EXPANSIVO;56;ANCLAJES;TORNILLERIA;ANCLAJE MULTIUSO 1/4-20 X UD;ANCLAJE MULTIUSO 3/8-16 X UD;Tornillería;alta;Tornillería
TORN HEX FLANGE MM TROP;54;FLANGE;TORNILLERIA;TORN HEX FLANGE MM TROP 6-1,0 X 10;TORN HEX FLANGE MM TROP 6-1,0 X 12;Tornillería;alta;Tornillería
TORN LAM HEX C/ARAN NEOPRENO P/BROCA ZINC;53;LAMINA NEOPRENO;TORNILLERIA;TOR LAM HEX C/ARAN NEOP P/BR ZN8 X 1;TOR LAM HEX C/ARAN NEOP P/BR ZN8X1.1/4;Tornillería;alta;Tornillería
TORN HEX MM 8,8 DIN 931/933 TROP;52;MILIMETRICO;TORNILLERIA;TORN HEX MM 8,8  TROP R TOTAL 6-12;TORN HEX MM 8,8  TROP R TOTAL 6-1,0 X 15;Tornillería;alta;Tornillería
CEPILLOS Y GRATAS;51;GRATAS;GRUPO NIKATTO;"GRATA COPA LISA DE 3"" X M14 REF 0107514230";"GRATA COPA LISA DE 3"" EJE 5/8""";Herramientas Industriales;alta;Herramientas Industriales
TLLO CC PHILL MM JIS ZINC;49;MILIMETRICO;TORNILLERIA;TORN CC PHILL MM JIS ZINC 3-0,5 X 6;TORN CC PHILL MM JIS ZINC 3-0,5 X 8;Tornillería;alta;Tornillería
TORN. HEX INOX 304;47;INOXIDABLE;TORNILLERIA;TORNILLO HEX INOX 304 A2 UNC  1/4 X 1/2;TORNILLO HEX INOX 304 A2 UNC  1/4 X 3/4;Tornillería;alta;Tornillería
TORN LAMINA PAN COMBINADO ZINC 4X1/4;44;LAMINA AV;TORNILLERIA;TORN LAMINA AVELLAN PHL ZINC 6X3/8;TORN LAMINA AVELLAN PHL ZINC 6X1/2;Tornillería;alta;Tornillería
TORNILLO CABEZA REDONDA ZINCADO;43;CABEZA REDONDA;TORNILLERIA;TORN CABEZA REDONDA COMB ZINC 1/8 X 3/8;TORN CABEZA REDONDA COMB ZINC 1/8 X 1/2;Tornillería;alta;Tornillería
HERRAMIENTAS DE TALLER;42;GATOS HIDRAULICOS;GRUPO NIKATTO;CAJA HTAS METALICA 41 X 15 X 10 TB102;CAJA HTAS METALICA ESCUALIZABLE 495X200X290 MM;;SIN MAPEO;
PROWELD;30;PINTURAS SPRAY;GRUPO NIKATTO;PINTURA SPRAY FLOURECENTE AMARILLO  DE 400 ML  N° 1005;PINTURA SPRAY  MULTIUSOS DE 400 ML AMARILLO N°41;Herramientas Industriales;media;Herramientas Industriales
TORN HEX MM 8,8 DIN 960;30;MILIMETRICO;TORNILLERIA;TORN HEX MM 8,8  TROP R TOTAL 10-1,25 X 25;TORN HEX MM 8,8  TROP R TOTAL 10-1,25 X 35;Tornillería;alta;Tornillería
TLLO HEX TIRAFONDO ZIN;28;TIRAFONDO;TORNILLERIA;TORN HEX TIRAFONDO ZINC. 1/4 X 2;TORN HEX TIRAFONDO ZINC. 1/4 X 2 1/2;Tornillería;alta;Tornillería
HERRAMIENTAS DE AIRE;26;COMPRESORES;GRUPO NIKATTO;COMPRESOR DE AIRE CON MOTOR DE  2,0 HP, VOLTAJE DE ALIMENTACIÓN: 110 VOLTIOS/60 HZ/1HP, TANQUE HORIZONTAL DE 20 LITROS, CAUDAL MAXIMO 6,0 CFM, PRESION MAXIMA 125 PSI;COMPRESOR DE AIRE CON MOTOR DE  2,0 HP, VOLTAJE DE ALIMENTACIÓN: 110 VOLTIOS/60 HZ/1HP, TANQUE VERTICAL DE 80 LITROS, CAUDAL MAXIMO 7,0 CFM, PRESION MAXIMA 125 PSI;Herramientas de Aire;alta;Herramientas de Aire
TORN HEX INOX 304 A2 MM;26;INOXIDABLE;TORNILLERIA;TORNILLO HEX  INOX 304 A2 MILIMETRICO 6 X 16;TORNILLO HEX  INOX 304 A2 MILIMETRICO 6 X 20;Tornillería;alta;Tornillería
